Movie Names,Directors,Cast,Language,Verdict,Year of Release,Action,Thriller,SciFi,Biography,Drama,History,Romance,Comedy,Crime,Adventure,Horror,Sport,Fantacy,War,Ratings,Votes,Worldwide Gross in Crores,Hit or Flop
Baahubali 2: The Conclusion,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']",Telugu,All Time Blockbuster,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.2,105531,1749,1
Secret Superstar,Advait Chandan,"['Zaira Wasim', 'Meher Vij', 'Raj Arjun', 'Aamir Khan']",Hindi,Blockbuster,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8,27522,830.8,1
Tiger Zinda Hai,Ali Abbas Zafar,"['Musa Muhammed Olayinka', 'Salman Khan', 'Katrina Kaif', 'Paresh Rawal', 'Anupriya Goenka']",Hindi,Blockbuster,2017,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.9,30693,562.5,1
Golmaal Again,Rohit Shetty,"['Ajay Devgn', 'Arshad Warsi', 'Tabu', 'Shreyas Talpade']",Hindi,Blockbuster,2017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.9,9917,310.3,1
Hindi Medium,Saket Chaudhary,"['Irrfan Khan', 'Saba Qamar', 'Dishita Sehgal', 'Deepak Dobriyal']",Hindi,Blockbuster,2017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.8,30211,304,1
Toilet - Ek Prem Katha,Shree Narayan Singh,"['Akshay Kumar', 'Anupam Kher', 'Bhumi Pednekar', 'Sana Khan']",Hindi,Hit,2017,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7.1,22202,290.2,1
Raees,Rahul Dholakia,"['Shah Rukh Khan', 'Sunny Leone', 'Nawazuddin Siddiqui', 'Jaideep Ahlawat']",Hindi,Above Average,2017,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6.6,47055,275,0
Mersal,Atlee,"['Joseph Vijay', 'Nithya Menen', 'S.J. Suryah', 'Samantha Ruth Prabhu']",Tamil,Hit,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,36018,246.9,1
Tubelight,Kabir Khan,"['Salman Khan', 'Sohail Khan', 'Om Puri', 'Mohd. Zeeshan Ayyub']",Hindi,Disaster,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.9,20937,214,0
Judwaa 2,David Dhawan,"['Varun Dhawan', 'Abhinay Raj Singh', 'Jacqueline Fernandez', 'Taapsee Pannu']",Hindi,Super Hit,2017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.6,11155,205.5,1
Badrinath Ki Dulhania,Shashank Khaitan,"['Varun Dhawan', 'Alia Bhatt', 'Sahil Vaid', 'Swanand Kirkire']",Hindi,Super Hit,2017,0,0,0,0,1,0,1,1,0,0,0,0,0,0,6.1,12745,198,1
Jolly LLB 2,Subhash Kapoor,"['Akshay Kumar', 'Huma Qureshi', 'Saurabh Shukla', 'Annu Kapoor']",Hindi,Hit,2017,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.2,26115,182,1
Khaidi No. 150,V.V. Vinayak,"['Chiranjeevi', 'Kajal Aggarwal', 'Tarun Arora', 'Mohammad Ali']",Telugu,Hit,2017,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5.9,3872,161.5,1
Mom,Ravi Udyawar,"['Abhinay Raj Singh', 'Sridevi', 'Sajal Ali', 'Akshaye Khanna']",Hindi,Hit,2017,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7.2,11079,158.6,1
Kaabil,Sanjay Gupta,"['Hrithik Roshan', 'Yami Gautam', 'Ronit Roy', 'Rohit Roy']",Hindi,Average,2017,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.1,27793,155.4,0
Jab Harry Met Sejal,Imtiaz Ali,"['Shah Rukh Khan', 'Anushka Sharma', 'Björn Freiberg', 'Bruce Huther']",Hindi,Flop,2017,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5.1,21564,147,0
Jai Lava Kusa,K.S. Ravindra,"['N.T. Rama Rao Jr.', 'Raashi Khanna', 'Nivetha Thomas', 'Ronit Roy']",Telugu,Average,2017,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6.8,6205,127.9,0
Vivegam,Siva,"['Ajith Kumar', 'Vivek Oberoi', 'Kajal Aggarwal', 'Akshara Haasan']",Tamil,Below Average,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.2,12616,124.6,0
Spyder,A.R. Murugadoss,"['Mahesh Babu', 'Rakul Preet Singh', 'S.J. Suryah', 'Veera Ravi Kumar Yalla']",Telugu,Disaster,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6.3,10792,119.3,0
Duvvada Jagannadham,Harish Shankar,"['Allu Arjun', 'Pooja Hegde', 'Rao Ramesh', 'Subbaraju']",Telugu,Above Average,2017,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5.9,5527,114.8,0
Singam 3,Hari,"['P.H. Kumanan', 'Suriya', 'Anushka Shetty', 'Shruti Haasan', 'Thakur Anoop Singh']",Tamil,Below Average,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,6769,111.9,0
Bairavaa,Bharathan,"['Joseph Vijay', 'Keerthy Suresh', 'Jagapathi Babu', 'Daniel Balaji']",Tamil,Average,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,10997,110.5,0
Half Girlfriend,Mohit Suri,"['Shraddha Kapoor', 'Vikrant Massey', 'Arjun Kapoor', 'Adam Davenport']",Hindi,Hit,2017,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.6,7555,107.5,1
Fukrey Returns,Mrighdeep Lamba,"['Pulkit Samrat', 'Varun Sharma', 'Ali Fazal', 'Manjot Singh']",Hindi,Super Hit,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.5,5704,107,1
Baadshaho,Milan Luthria,"['Ajay Devgn', ""Ileana D'Cruz"", 'Emraan Hashmi', 'Esha Gupta']",Hindi,Average,2017,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.9,5051,106.3,0
